region_id,region_label,profile,mean,q05,q95,p_talarico
2650119,"County 265, VTD 0119 (urban)",urban,0.3854078350208519,0.30698165397783983,0.46782068349659056,0.01181
2650202,"County 265, VTD 0202 (rural)",rural,0.22442657551348344,0.16934543463214954,0.28638240173659624,0
2650211,"County 265, VTD 0211 (rural)",rural,0.29436098307468195,0.2275891788705486,0.367270430177217,0
2650215,"County 265, VTD 0215 (rural)",rural,0.256304250974905,0.1952582156587883,0.3240853942008159,0
2650220,"County 265, VTD 0220 (rural)",rural,0.2872870505203953,0.2214767317665996,0.35937487811886426,0
2650303,"County 265, VTD 0303 (rural)",rural,0.26679586560147417,0.20417453026724597,0.3359954837017821,0
2650308,"County 265, VTD 0308 (rural)",rural,0.2617288448425568,0.2000417036162973,0.3300311817349168,0
2650312,"County 265, VTD 0312 (urban)",urban,0.35901372055943664,0.2833182803457507,0.43946808245430086,0.00248
2650314,"County 265, VTD 0314 (urban)",urban,0.4192876942083965,0.3381791040016351,0.5032761631710156,0.05701
2650404,"County 265, VTD 0404 (rural)",rural,0.16326549276972346,0.1205749197101965,0.2125452098308776,0
2650405,"County 265, VTD 0405 (rural)",rural,0.3032031324196256,0.23520650433176046,0.37716613628225987,3e-5
2650406,"County 265, VTD 0406 (rural)",rural,0.2540480571655287,0.1936384895673149,0.3211544439463235,0
2650410,"County 265, VTD 0410 (rural)",rural,0.13295571911611676,0.0970448327997452,0.17496695401974727,0
2650416,"County 265, VTD 0416 (rural)",rural,0.24634521417002117,0.1870601153709186,0.31244636069981824,0
2650417,"County 265, VTD 0417 (rural)",rural,0.302843981674145,0.23498495774022282,0.3766645101475322,1e-5
2670001,"County 267, VTD 0001 (rural)",rural,0.16247319778304736,0.11998296884086848,0.21153468868689554,0
2670002,"County 267, VTD 0002 (rural)",rural,0.15681887519884558,0.11560797629144315,0.20451075543152586,0
2670003,"County 267, VTD 0003 (rural)",rural,0.15758007249305558,0.11635527530797794,0.2052452105798771,0
2670004,"County 267, VTD 0004 (rural)",rural,0.15183087599627032,0.11179857953940461,0.19824475160231111,0
2670006,"County 267, VTD 0006 (rural)",rural,0.11581142481781893,0.08420427411332278,0.15301833110923707,0
2670007,"County 267, VTD 0007 (rural)",rural,0.10187137173595893,0.07378645539964601,0.13511234462703578,0
2670009,"County 267, VTD 0009 (rural)",rural,0.19824104861089636,0.14838708966408162,0.2549166408477455,0
2690001,"County 269, VTD 0001 (rural)",rural,0.04594937541352203,0.0318497977889691,0.06325180176449638,0
2690002,"County 269, VTD 0002 (rural)",rural,0.018744088904152696,0.01286787456651933,0.026041709013330774,0
2690004,"County 269, VTD 0004 (rural)",rural,0.1299860945028391,0.09305803190938017,0.17361500842215508,0
2710001,"County 271, VTD 0001 (rural)",rural,0.2698776434451761,0.20690271590644757,0.33935953245232775,0
2710002,"County 271, VTD 0002 (rural)",rural,0.35027431431814277,0.2765772834838849,0.42882306893899225,0.00105
2710003,"County 271, VTD 0003 (rural)",rural,0.41628961986425306,0.33624802066068354,0.49924475880057817,0.04866
2710004,"County 271, VTD 0004 (rural)",rural,0.2702329672844567,0.20749882074572468,0.33940535998842075,0
2730011,"County 273, VTD 0011 (urban)",urban,0.4872303446138993,0.4021495067964186,0.5727840833170355,0.40327
2730012,"County 273, VTD 0012 (rural)",rural,0.4479117411304808,0.3662964068472856,0.531358830828611,0.15192
2730013,"County 273, VTD 0013 (hispanic)",hispanic,0.6105704507729163,0.5293445644822853,0.688061020558767,0.98655
2730014,"County 273, VTD 0014 (urban)",urban,0.5519134239927498,0.46691175171860366,0.6350251636206701,0.84326
2730021,"County 273, VTD 0021 (urban)",urban,0.4763180917252703,0.3923195152528205,0.5611776759757914,0.32265
2730022,"County 273, VTD 0022 (urban)",urban,0.5811497413654972,0.4970448424289197,0.6623523010789361,0.94322
